Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	192	0.99091	False	2188	4	1192378	86
2	194	0.95496	False	11085	5	2166771	880
2	194	0.61593	False	122802	9	1975034	634
2	199	0.23484	False	482832	9	2640911	827
2	199	0.97851	False	5212	2	2387050	1053
2	199	0.5	True	312	3	2328761	1033
2	199	0.99949	False	122	2	2328761	1033
2	199	0.9987	False	312	3	2328761	1033
2	199	0.99316	False	1645	1	2309251	1005
2	199	0.5	True	39933	3	2208748	886
2	199	0.97616	False	5792	1	2208748	886
2	199	0.84871	False	39933	3	2208748	886
2	199	0.5	True	6928	1	1986605	752
2	199	0.97156	False	6928	1	1986605	752
2	199	0.74044	False	74308	5	1975034	634
2	199	0.9934	False	1587	1	1689122	509
2	199	0.98082	False	4647	1	1620695	439
2	199	0.69885	False	89246	8	1380397	197
2	199	0.99747	False	607	2	1211926	50
2	199	0.98572	False	3449	5	1211926	50
2	199	0.98645	False	3272	6	1192837	84
2	207	0.80356	False	53563	2	2640858	1211
2	207	0.5	True	594611	9	1869602	177
2	207	0.98307	False	4096	1	1869602	177
2	207	0.5	True	4177	1	1558568	413
2	207	0.98274	False	4177	1	1558568	413
2	207	0.5	True	271974	7	1546965	177
2	207	0.93665	False	15771	1	1546965	177
2	207	0.5	True	254900	5	1529891	177
2	207	0.9964	False	864	1	1529891	177
2	207	0.99414	False	1409	3	1529891	177
2	207	0.5	True	2357	1	1277348	177
2	207	0.99021	False	2357	1	1277348	177
2	210	0.5	True	1033	1	1973330	742
2	210	0.9957	False	1033	1	1973330	742
2	225	0.74751	False	71876	2	1431465	160
2	225	0.91719	False	20874	6	1380397	197
2	228	0.99392	False	1460	10	1634406	455
2	237	0.5	True	84559	6	2397743	1015
2	237	0.99942	False	140	1	2397743	1015
2	237	0.5	True	83564	4	2396748	1015
2	237	0.99584	False	998	1	2396748	1015
2	237	0.71431	False	83564	4	2396748	1015
2	242	0.73914	False	74761	7	1975034	634
2	248	0.5	True	70783	1	1349776	182
2	248	0.75072	False	70783	1	1349776	182
2	262	0.5	True	722	1	1639539	463
2	262	0.99699	False	722	1	1639539	463
2	265	0.99914	False	207	1	1634406	455
2	265	0.99565	False	1045	5	1634406	455
2	268	0.77389	False	63049	1	1282215	27
2	268	0.5	True	263	1	1212567	120
2	268	0.9989	False	263	1	1212567	120
